regulator_name,regulator_id,database1,ID1,location1,element_type1,cell_type1,level1,regulated_name,regulated_id,database1,ID2,location2,element_type2,cell_type2,level2,interaction,score,kindscore,matchlevel,epistemicvalue,file_numbers,number,Regulator Variable Name,Regulated Variable Name,PaperID,,
AKT,be_AKT,be,P31749,,family,,,CD4,uniprot_P01730,uniprot,P01730,,protein,,,decreases,,,,,,,,,PMC2275380,,
AKT,be_AKT,be,P31749,,family,,,CTRL,uniprot_P40313,uniprot,P40313,,protein,,,decreases,,,,,,,,,PMC2275380,,
TGFBETA,interpro_P01137,interpro,P01137,,family,,,AKT,be_AKT,be,P31749,,family,,,increases,,,,,,,,,PMC2275380,,
Foxp3,uniprot_Q9BZS1,uniprot,Q9BZS1,,protein,,,Ctla4,uniprot_P16410,uniprot,P16410,,protein,,,increases,,,,,,,,,PMC2275380,,
Foxp3,uniprot_Q9BZS1,uniprot,Q9BZS1,,protein,,,Gpr83,uniprot_Q9NYM4,uniprot,Q9NYM4,,protein,,,increases,,,,,,,,,PMC2275380,,
Pten,uniprot_P60484,uniprot,P60484,,protein,,,CD8,be_CD8,be,CD8,,family,,,increases,,,,,,,,,PMC3375464,,
PTEN,uniprot_P60484,uniprot,P60484,,protein,,,HSC,uniprot_P19526,uniprot,P19526,,protein,,,increases,,,,,,,,,PMC3375464,,
CHK1,uniprot_O14757,uniprot,O14757,,protein,,,Akt,be_AKT,be,P31749,,family,,,increases,,,,,,,,,PMC3375464,,
Foxo,be_FOXO,be,FOXO,,family,,,Foxo3a,uniprot_O43524,uniprot,O43524,,protein,,,decreases,,,,,,,,,PMC3375464,,
PDL1,uniprot_Q9NZQ7,uniprot,Q9NZQ7,,protein,,,gp120,uniprot_Q14624,uniprot,Q14624,,protein,,,increases,,,,,,,,,PMC4669187,,
PDL1,uniprot_Q9NZQ7,uniprot,Q9NZQ7,,protein,,,Treg,uaz_UAZ02439,uaz,UAZ02439,,protein,,,decreases,,,,,,,,,PMC4669187,,
PDL1,uniprot_Q9NZQ7,uniprot,Q9NZQ7,,protein,,,CD8,be_CD8,be,CD8,,family,,,decreases,,,,,,,,,PMC4669187,,
TCR,uniprot_P04234,uniprot,P04234,,protein,,,CD4,uniprot_P01730,uniprot,P01730,,protein,,,decreases,,,,,,,,,PMC3949578,,
Itk,uniprot_Q08881,uniprot,Q08881,,protein,,,CD4,uniprot_P01730,uniprot,P01730,,protein,,,decreases,,,,,,,,,PMC3949578,,
AKT,uaz_UAZ00283,uaz,P31749,,protein,,,CD4,uniprot_P01730,uniprot,P01730,,protein,,,decreases,,,,,,,,,PMC3949578,,
AKT,uaz_UAZ00283,uaz,P31749,,protein,,,Itk,uniprot_Q08881,uniprot,Q08881,,protein,,,decreases,,,,,,,,,PMC3949578,,
FoxP3,uniprot_Q9BZS1,uniprot,Q9BZS1,,protein,,,Itk,uniprot_Q08881,uniprot,Q08881,,protein,,,increases,,,,,,,,,PMC3949578,,
Itk,uniprot_Q08881,uniprot,Q08881,,protein,,,CD4,uniprot_P01730,uniprot,P01730,,protein,,,increases,,,,,,,,,PMC3949578,,
IL2,uniprot_P60568,uniprot,P60568,,protein,,,Itk,uniprot_Q08881,uniprot,Q08881,,protein,,,increases,,,,,,,,,PMC3949578,,
TCR,uniprot_P04234,uniprot,P04234,,protein,,,Itk,uniprot_Q08881,uniprot,Q08881,,protein,,,increases,,,,,,,,,PMC3949578,,
FoxP3,uniprot_Q9BZS1,uniprot,Q9BZS1,,protein,,,Itk,uniprot_Q08881,uniprot,Q08881,,protein,,,increases,,,,,,,,,PMC3949578,,
