Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs
AKT,family,,,be,P31749,,,CD4,protein,,,uniprot,P01730,,,negative,,,,,,,,,,,PMC2275380
AKT,family,,,be,P31749,,,CTRL,protein,,,uniprot,P40313,,,negative,,,,,,,,,,,PMC2275380
TGFBETA,family,,,interpro,P01137,,,AKT,family,,,be,P31749,,,positive,,,,,,,,,,,PMC2275380
Foxp3,protein,,,uniprot,Q9BZS1,,,Ctla4,protein,,,uniprot,P16410,,,positive,,,,,,,,,,,PMC2275380
Foxp3,protein,,,uniprot,Q9BZS1,,,Gpr83,protein,,,uniprot,Q9NYM4,,,positive,,,,,,,,,,,PMC2275380
Pten,protein,,,uniprot,P60484,,,CD8,family,,,be,CD8,,,positive,,,,,,,,,,,PMC3375464
PTEN,protein,,,uniprot,P60484,,,HSC,protein,,,uniprot,P19526,,,positive,,,,,,,,,,,PMC3375464
CHK1,protein,,,uniprot,O14757,,,Akt,family,,,be,P31749,,,positive,,,,,,,,,,,PMC3375464
Foxo,family,,,be,FOXO,,,Foxo3a,protein,,,uniprot,O43524,,,negative,,,,,,,,,,,PMC3375464
PDL1,protein,,,uniprot,Q9NZQ7,,,gp120,protein,,,uniprot,Q14624,,,positive,,,,,,,,,,,PMC4669187
PDL1,protein,,,uniprot,Q9NZQ7,,,Treg,protein,,,uaz,UAZ02439,,,negative,,,,,,,,,,,PMC4669187
PDL1,protein,,,uniprot,Q9NZQ7,,,CD8,family,,,be,CD8,,,negative,,,,,,,,,,,PMC4669187
TCR,protein,,,uniprot,P04234,,,CD4,protein,,,uniprot,P01730,,,negative,,,,,,,,,,,PMC3949578
Itk,protein,,,uniprot,Q08881,,,CD4,protein,,,uniprot,P01730,,,negative,,,,,,,,,,,PMC3949578
AKT,protein,,,uaz,P31749,,,CD4,protein,,,uniprot,P01730,,,negative,,,,,,,,,,,PMC3949578
AKT,protein,,,uaz,P31749,,,Itk,protein,,,uniprot,Q08881,,,negative,,,,,,,,,,,PMC3949578
FoxP3,protein,,,uniprot,Q9BZS1,,,Itk,protein,,,uniprot,Q08881,,,positive,,,,,,,,,,,PMC3949578
Itk,protein,,,uniprot,Q08881,,,CD4,protein,,,uniprot,P01730,,,positive,,,,,,,,,,,PMC3949578
IL2,protein,,,uniprot,P60568,,,Itk,protein,,,uniprot,Q08881,,,positive,,,,,,,,,,,PMC3949578
TCR,protein,,,uniprot,P04234,,,Itk,protein,,,uniprot,Q08881,,,positive,,,,,,,,,,,PMC3949578
FoxP3,protein,,,uniprot,Q9BZS1,,,Itk,protein,,,uniprot,Q08881,,,positive,,,,,,,,,,,PMC3949578
TCR,protein,,,uniprot,P04234,,,Pten,protein,,,uniprot,P60484,,,negative,,,,,,,,,,,PMC3949578
Pten,protein,,,uniprot,P60484,,,Itk,protein,,,uniprot,Q08881,,,negative,,,,,,,,,,,PMC3949578
Itk,protein,,,uniprot,Q08881,,,Th17,protein,,,uaz,UAZ02468,,,positive,,,,,,,,,,,PMC3949578
CD4,protein,,,uniprot,P01730,,,IL17A,protein,,,uniprot,Q16552,,,negative,,,,,,,,,,,PMC3949578
HIF1alpha,protein,,,uniprot,Q16665,,,IL17A,protein,,,uniprot,Q16552,,,negative,,,,,,,,,,,PMC3949578
TCR,protein,,,uniprot,P04234,,,CD25,protein,,,uniprot,P01589,,,positive,,,,,,,,,,,PMC3949578
Itk,protein,,,uniprot,Q08881,,,Myc,protein,,,uniprot,P01106,,,negative,,,,,,,,,,,PMC3949578
IQGAP1,protein,,,uniprot,P46940,,,MEK2,protein,,,uniprot,P36507,,,negative,,,,,,,,,,,PMC3625979
MEK1,protein,,,uniprot,Q02750,,,AKT,family,,,be,P31749,,,negative,,,,,,,,,,,PMC3625979
AKT,family,,,be,P31749,,,MEK1,protein,,,uniprot,Q02750,,,negative,,,,,,,,,,,PMC3625979
MEK1,protein,,,uniprot,Q02750,,,AKT,family,,,be,P31749,,,negative,,,,,,,,,,,PMC3625979
AKT,family,,,be,P31749,,,MAGI1,protein,,,uniprot,Q6P9H4,,,negative,,,,,,,,,,,PMC3625979
ERK,family,,,be,P29323,,,S5B,protein,,,uaz,UAZ02655,,,positive,,,,,,,,,,,PMC3625979
MEK,family,,,be,MEK,,,PTEN,protein,,,uniprot,P60484,,,positive,,,,,,,,,,,PMC3625979
CK2,protein,,,uaz,Q53GL0,,,CD4,protein,,,uaz,UAZ00341,,,positive,,,,,,,,,,,PMC5193405
SP,protein,,,uniprot,Q03403,,,CD69,protein,,,uniprot,Q07108,,,positive,,,,,,,,,,,PMC5193405
CK2,protein,,,uaz,UAZ00325,,,CDC37,protein,,,uniprot,Q16543,,,positive,,,,,,,,,,,PMC5193405
CK2,protein,,,uaz,UAZ00325,,,Akt,family,,,be,P31749,,,positive,,,,,,,,,,,PMC5193405
CK2,protein,,,be,Q53GL0,,,CDC37,protein,,,uniprot,Q16543,,,positive,,,,,,,,,,,PMC5193405
ERK,family,,,be,P29323,,,CK2,protein,,,uaz,Q53GL0,,,positive,,,,,,,,,,,PMC5193405
Bcl2,protein,,,uniprot,P10415,,,CD3,protein,,,be,CD3,,,positive,,,,,,,,,,,PMC5193405
Bcl2,protein,,,uniprot,P10415,,,CD3,protein,,,be,CD3,,,positive,,,,,,,,,,,PMC5193405
CD5,protein,,,uniprot,P06127,,,CK2,protein,,,be,Q53GL0,,,positive,,,,,,,,,,,PMC5193405
CD5,protein,,,uniprot,P06127,,,P38,family,,,be,p38,,,positive,,,,,,,,,,,PMC5193405
P38,family,,,be,p38,,,CD5,protein,,,uniprot,P06127,,,positive,,,,,,,,,,,PMC5193405
PTEN,protein,,,uniprot,P60484,,,AKT,family,,,be,P31749,,,positive,,,,,,,,,,,PMC4712330
RAS,family,,,pfam,PF00071,,,PTEN,protein,,,uniprot,P60484,,,negative,,,,,,,,,,,PMC4712330
NEDD4,protein,,,uniprot,P46934,,,PTEN,protein,,,uniprot,P60484,,,negative,,,,,,,,,,,PMC4712330
P53,protein,,,uniprot,P04637,,,PTEN,protein,,,uniprot,P60484,,,negative,,,,,,,,,,,PMC4712330
PI3K,protein,,,be,P42336,,,AKT,family,,,be,P31749,,,positive,,,,,,,,,,,PMC4712330
PTEN,protein,,,uniprot,P60484,,,AKT,family,,,be,P31749,,,negative,,,,,,,,,,,PMC4712330
PI3K,protein,,,be,P42336,,,PTEN,protein,,,uniprot,P60484,,,positive,,,,,,,,,,,PMC4712330
PI3K,protein,,,be,P42336,,,PTEN,protein,,,uniprot,P60484,,,negative,,,,,,,,,,,PMC4712330
AKT,family,,,be,P31749,,,TBK1,protein,,,uniprot,Q9UHD2,,,positive,,,,,,,,,,,PMC4302769
mTORC1,protein,,,be,Q8N122,,,TBK1,protein,,,uniprot,Q9UHD2,,,positive,,,,,,,,,,,PMC4302769
TCR,protein,,,uniprot,P04234,,,AKT,family,,,be,P31749,,,negative,,,,,,,,,,,PMC4302769
TBK1,protein,,,uniprot,Q9UHD2,,,AKT,family,,,be,P31749,,,negative,,,,,,,,,,,PMC4302769
TBK1,protein,,,uniprot,Q9UHD2,,,AKT,family,,,be,P31749,,,negative,,,,,,,,,,,PMC4302769
TBK1,protein,,,uniprot,Q9UHD2,,,AKT,family,,,be,P31749,,,negative,,,,,,,,,,,PMC4302769
AKT,family,,,be,P31749,,,Foxo1,protein,,,uniprot,Q12778,,,negative,,,,,,,,,,,PMC4302769
AKT,family,,,be,P31749,,,TBK1,protein,,,uniprot,Q9UHD2,,,positive,,,,,,,,,,,PMC4302769
TBK1,protein,,,uniprot,Q9UHD2,,,CD4,protein,,,uniprot,P01730,,,negative,,,,,,,,,,,PMC4302769
TBK1,protein,,,uniprot,Q9UHD2,,,Foxo1,protein,,,uniprot,Q12778,,,positive,,,,,,,,,,,PMC4302769
TBK1,protein,,,uniprot,Q9UHD2,,,AKT,family,,,be,P31749,,,positive,,,,,,,,,,,PMC4302769
AKT,family,,,be,P31749,,,Foxo1,protein,,,uniprot,Q12778,,,negative,,,,,,,,,,,PMC4302769
